?complex    ?complexName                                                           ?complexLocation          ?reactomeID               ?protein
Complex54   P-TEFb complex                                                         nucleoplasm               Reactome DB_ID: 112431    Protein84
Complex54   P-TEFb complex                                                         nucleoplasm               Reactome DB_ID: 112431    Protein86
Complex55   WWTR1:p-2S-SMAD2/3:SMAD4                                               cytosol                   Reactome DB_ID: 2031357   Complex14
Complex55   WWTR1:p-2S-SMAD2/3:SMAD4                                               cytosol                   Reactome DB_ID: 2031357   Protein87
Complex56   WWTR1:p-2S-SMAD2/3:SMAD4                                               nucleoplasm               Reactome DB_ID: 2106580   Complex50
Complex56   WWTR1:p-2S-SMAD2/3:SMAD4                                               nucleoplasm               Reactome DB_ID: 2106580   Protein88
Complex57   p-2S-SMAD2/3:SMAD4:TGIF:HDAC1                                          nucleoplasm               Reactome DB_ID: 2186606   Complex50
Complex57   p-2S-SMAD2/3:SMAD4:TGIF:HDAC1                                          nucleoplasm               Reactome DB_ID: 2186606   Protein90
Complex57   p-2S-SMAD2/3:SMAD4:TGIF:HDAC1                                          nucleoplasm               Reactome DB_ID: 2186606   Protein93
Complex58   SMAD7:RNF111                                                           nucleoplasm               Reactome DB_ID: 2186769   Protein31
Complex58   SMAD7:RNF111                                                           nucleoplasm               Reactome DB_ID: 2186769   Protein94
Complex59   Ub-SMAD7                                                               nucleoplasm               Reactome DB_ID: 2186778   Protein31
Complex59   Ub-SMAD7                                                               nucleoplasm               Reactome DB_ID: 2186778   Protein95
Complex6    TGFBR1:FKBP1A                                                          plasma membrane           Reactome DB_ID: 2187279   Complex7
Complex6    TGFBR1:FKBP1A                                                          plasma membrane           Reactome DB_ID: 2187279   Protein8
Complex60   RBL1:E2F4/5:DP1/2                                                      nucleoplasm               Reactome DB_ID: 2127252   Protein110
Complex60   RBL1:E2F4/5:DP1/2                                                      nucleoplasm               Reactome DB_ID: 2127252   Protein113
Complex60   RBL1:E2F4/5:DP1/2                                                      nucleoplasm               Reactome DB_ID: 2127252   Protein116
Complex61   p-SMAD2/3:SMAD4:RBL1:E2F4/5:DP1/2                                      nucleoplasm               Reactome DB_ID: 2127250   Complex50
Complex61   p-SMAD2/3:SMAD4:RBL1:E2F4/5:DP1/2                                      nucleoplasm               Reactome DB_ID: 2127250   Complex60
